"","dclientes"
"664",0.0600920258342841
"665",0.0601730191018596
"666",0.0602564755662128
"667",0.0603422951021414
"668",0.0604303958234141
"669",0.0605207147395443
"670",0.0606132081414
"671",0.0607078517308007
"672",0.0608046405107751
"673",0.0609035884539219
"674",0.0610047279663795
"675",0.0611081091643216
"676",0.061213798978733
"677",0.0613218801025803
"678",0.0614324497924767
"679",0.0615456185346708
"680",0.0616615085827787
"681",0.0617802523722557
"682",0.0619019908142886
"683",0.0620268714696916
"684",0.0621550466016252
"685",0.0622866711046087
"686",0.0624219003064608
"687",0.0625608876395273
"688",0.062703782177897
"689",0.062850726038289
"690",0.0630018516439223
"691",0.0631572788529435
"692",0.063317111955848
"693",0.0634814365497457
"694",0.0636503163012087
"695",0.063823789613723
"696",0.0640018662203416
"697",0.0641845237268947
"698",0.0643717041359324
"699",0.064563310386331
"700",0.0647592029480586
"701",0.0649591965158305
"702",0.0651630568491776
"703",0.0653704978096651
"704",0.0655811786485272
"705",0.0657947015997302
"706",0.066010609834332
"707",0.0662283858319255
"708",0.0664474502238484
"709",0.0666671611607002
"710",0.066886814253495
"711",0.0671056431335047
"712",0.0673228206705348
"713",0.0675374608830692
"714",0.0677486215664845
"715",0.0679553076574648
"716",0.0681564753439332
"717",0.0683510369204007
"718",0.0685378663787359
"719",0.0687158057141467
"720",0.0688836719157938
"721",0.0690402646010934
"722",0.0691843742426004
"723",0.069314790926554
"724",0.0694303135729038
"725",0.0695297595380747
"726",0.0696119745140423
"727",0.0696758426306164
"728",0.0697202966623059
"729",0.0697443282368751
"730",0.069746997939794
"731",0.069727445207297
"732",0.0696848979007466
"733",0.069618681456463
"734",0.0695282275081211
"735",0.0694130818831958
"736",0.0692729118806886
"737",0.0691075127444129
"738",0.0689168132543329
"739",0.068700880367709
"740",0.068459922851956
"741",0.0681942938619934
"742",0.0679044924262886
"743",0.0675911638175693
"744",0.067255098796132
"745",0.0668972317255945
"746",0.0665186375726606
"747",0.0661205278137981
"748",0.0657042452825152
"749",0.065271258001007
"750",0.0648231520491985
"751",0.0643616235325298
"752",0.0638884697171156
"753",0.0634055794071134
"754",0.0629149226442029
"755",0.062418539813009
"756",0.0619185302390944
"757",0.0614170403678453
"758",0.0609162516132216
"759",0.06041836796502
"760",0.0599256034420927
"761",0.0594401694769684
"762",0.058964262314662
"763",0.0585000505052379
"764",0.0580496625660351
"765",0.057615174885489
"766",0.0571985999363072
"767",0.0568018748614815
"768",0.0564268504923451
"769",0.0560752808536932
"770",0.0557488132069515
"771",0.0554489786785505
"772",0.0551771835170828
"773",0.0549347010195136
"774",0.0547226641636666
"775",0.0545420589814353
"776",0.0543937187046105
"777",0.0542783187128655
"778",0.0541963723112123
"779",0.0541482273621057
"780",0.0541340637952337
"781",0.054153892015838
"782",0.0542075522300696
"783",0.0542947147033418
"784",0.0544148809648135
"785",0.0545673859679718
"786",0.0547514012137172
"787",0.0549659388383544
"788",0.0552098566644173
"789",0.0554818642073017
"790",0.055780529625228
"791",0.0561042875941314
"792",0.0564514480827059
"793",0.0568202059960447
"794",0.0572086516491963
"795",0.0576147820245488
"796",0.0580365127593592
"797",0.0584716908020461
